Alabama
date         4/28  4/29  4/30  5/01  5/02  5/03  5/04
Cheyenne         0     0     0     0     0     0     0
Clear Creek     13    13    13    13    13    13    13
Conejos          0     0     0     0     0     0     0
Costilla         3     3     3     3     3     3     3
Crowley          2     2     2     2     3     3     4
Custer           2     2     2     2     2     2     2
Delta           33    34    43    44    46    48    50
Denver        2682  2791  2890  3001  3092  3222  3345
Dolores          0     0     0     0     0     0     0
Douglas        449   453   468   478   502   518   526
Eagle          535   540   546   550   550   546   551
El Paso        879   884   907   932   964   988   994
Elbert          27    27    28    29    30    31    31
Fremont         22    22    22    22    22    22    22
Garfield        88    89    91    93    93    95    97
Gilpin           1     1     1     1     1     1     1
Grand            5     5     5     5     5     5     5
Gunnison       158   161   161   166   166   165   165
Hinsdale         3     3     3     3     3     3     3
Huerfano         2     2     2     2     2     2     2
Jackson          0     0     0     0     0     0     0
Jefferson     1276  1298  1314  1338  1373  1384  1405
Kiowa            0     0     0     0     0     0     0
Kit Carson      20    20    20    21    21    21    21
La Plata        59    59    62    62    63    63    63
Lake            17    17    17    18    19    20    20
Larimer        321   334   348   363   377   384   395
Las Animas       3     3     3     3     3     3     3
Lincoln          3     3     3     3     3     3     3
Logan          259   266   270   282   282   288   291
Mesa            40    42    44    46    47    47    47
Mineral          2     2     2     2     2     2     2
Moffat           6     6     6     6     6     6     6
Montezuma       15    15    16    16    16    16    17
Montrose        92    94    96    96    98   102   105
Morgan         298   344   358   372   384   395   399
Otero            8     8     8    10    10    10    10
Ouray            5     5     5     5     5     5     5
Out of CO        0     0     0     0     0     0     0
Park             7    11    11    11    13    14    14
Phillips         6     6     6     6     6     5     5
Pitkin          61    61    62    65    65    51    51
Prowers          1     1     1     1     1     1     1
Pueblo         134   136   136   139   146   150   158
Rio Blanco       1     1     1     1     1     1     1
Rio Grande       7     7     7     7     7     7     7
Routt           54    55    54    56    56    56    56
Saguache         3     3     4     4     4     3     3
San Juan         0     0     0     0     0     0     0
San Miguel      19    19    19    19    19    19    19
Sedgwick         0     0     0     0     0     0     0
Summit         106   119   121   128   130   136   144
Teller          27    28    28    28    28    28    28
Unassigned     176   165   145   158   201   226   242
Unassigned       0     0     0     0     0     0     0
Washington       6     7     7     7     7     8     8
Weld          1544  1618  1704  1776  1802  1836  1872
Yuma             6     7     8     8     9     8     9
totals       13879 14316 14758 15284 15793 16225 16635

Connecticut
date         4/28  4/29  4/30  5/01  5/02  5/03  5/04
Fairfield   10763 10874 10985 11294 11612 11801 11801
Hartford     5157  5224  5388  5601  5931  6112  6112
Litchfield    892   900   919   963  1014  1036  1036
Middlesex     609   618   631   657   687   707   707
New Haven    6993  7089  7205  7536  7900  8024  8024
New London    516   530   540   564   603   623   623
Tolland       419   422   427   437   446   461   461
Unassigned      0     0     0     0     0     0     0
Unassigned    484   491   507   462   371   312   312
Windham       164   164   165   186   200   211   211
totals      25997 26312 26767 27700 28764 29287 29287

DC
date                   4/28  4/29  4/30  5/01  5/02  5/03  5/04
District of Columbia   3892  3994  4106  4323  4658  4797  5016
totals                 3892  3994  4106  4323  4658  4797  5016

Delaware
date         4/28  4/29  4/30  5/01  5/02  5/03  5/04
Kent          652   728   743   759   773   793   821
New Castle   1629  1701  1717  1734  1829  1864  1903
Sussex       1870  2114  2169  2216  2292  2359  2461
Unassigned      0     0     0     0     0     0     0
Unassigned     11    32    26    25    24    22    23
totals       4162  4575  4655  4734  4918  5038  5208

Florida
date           4/28  4/29  4/30  5/01  5/02  5/03  5/04
Alachua         254   255   262   267   273   275   286
Baker            20    20    20    20    22    22    22
Bay              68    70    70    72    72    75    76
Bradford         44    44    46    46    47    48    48
Brevard         266   268   270   285   289   297   308
Broward        4794  4847  4898  4953  5144  5257  5312
Calhoun           6     6     8     8     8    14    15
Charlotte       211   219   223   236   245   244   249
Citrus           97    97    97    99    99    99    99
Clay            271   272   272   273   276   278   279
Collier         562   568   581   596   610   628   640
Columbia         53    55    57    58    64    68    92
DeSoto            0     0     0     0     0     0     0
DeSoto           25    26    28    29    30    31    32
Desoto            0     0     0     0     0     0     0
Dixie             5     6     6     7     7     7     9
Duval           990  1001  1007  1012  1025  1038  1045
Escambia        470   485   496   506   532   538   593
Flagler         127   131   133   133   134   138   140
Franklin          2     2     2     2     2     2     2
Gadsden          87    94    94    95   103   105   107
Gilchrist         4     4     4     5     5     5     6
Glades            6     6     6     6     6     6     6
Gulf              1     1     1     1     1     1     1
Hamilton          6     6     6     6     7     7     7
Hardee           13    14    16    18    22    29    32
Hendry           68    72    80    83    92    96   101
Hernando         89    89    89    90    92    92    94
Highlands        80    81    81    81    84    86    85
Hillsborough   1062  1080  1105  1124  1163  1240  1281
Holmes            9     9     9    10    10    10    10
Indian River     90    90    90    90    91    92    97
Jackson          13    13    14    14    14    14    15
Jefferson        28    28    28    28    28    28    28
Lafayette         1     1     1     1     2     2     2
Lake            223   226   227   227   233   234   234
Lee             971   990  1003  1021  1067  1085  1118
Leon            212   213   214   219   226   233   234
Levy             13    18    18    19    19    19    19
Liberty           2     2     3     3     6     8    60
Madison          44    49    49    55    58    58    60
Manatee         533   563   567   580   591   607   619
Marion          151   160   165   175   178   182   184
Martin          183   185   186   191   197   199   202
Miami-Dade    11570 11831 11927 12063 12389 12632 12775
Monroe           79    79    78    79    79    80    80
Nassau           53    53    56    56    57    58    59
Okaloosa        149   152   153   154   156   158   160
Okeechobee       10    10    10    11    12    13    14
Orange         1339  1363  1371  1385  1413  1422  1434
Osceola         470   474   479   478   486   504   509
Palm Beach     2763  2877  2911  2963  3041  3080  3130
Pasco           237   239   241   249   252   275   278
Pinellas        698   709   718   729   748   757   766
Polk            441   457   468   483   500   514   523
Putnam           87   103   103   106   108   117   120
Santa Rosa      150   151   153   154   158   157   157
Sarasota        323   334   338   352   365   372   377
Seminole        367   374   373   379   385   395   394
St. Johns       204   207   207   208   210   212   211
St. Lucie       236   239   239   247   249   254   257
Sumter          173   177   176   181   217   221   226
Suwannee        118   128   129   130   139   141   141
Taylor            3     3     3     3     3     3     3
Unassigned        0     0     0     0     0     0     0
Unassigned        1     4     7     7     8     9    12
Union             4     4     4     4     5     5     5
Volusia         440   445   448   452   500   509   513
Wakulla          22    22    22    23    24    23    24
Walton           35    35    35    38    38    43    49
Washington       12    12    12    12    12    12    12
totals        32138 32848 33193 33690 34728 35463 36078

Georgia
date            4/28  4/29  4/30  5/01  5/02  5/03  5/04
Appling           60    65    65    70    72    72    72
Atkinson           7     7     7     8     9    11    11
Bacon             22    22    22    24    25    26    27
Baker             21    21    22    23    23    23    23
Baldwin          193   202   210   215   226   229   233
Banks             17    18    20    24    25    31    31
Barrow           113   123   131   133   141   155   159
Bartow           289   298   308   313   323   324   325
Ben Hill          24    25    25    25    26    28    29
Berrien           15    18    18    17    17    17    17
Bibb             256   269   302   305   312   319   323
Bleckley           9    12    12    16    19    20    20
Brantley          21    22    22    23    23    23    22
Brooks            52    52    55    58    59    59    60
Bryan             48    49    51    52    54    54    54
Bulloch           34    34    36    37    40    42    42
Burke             77    74    84    85    86    86    86
Butts            126   129   134   141   153   151   150
Calhoun           87    87    90    99   103   103   107
Camden            30    31    32    33    33    34    35
Candler            8     7     7     7     7     7     7
Carroll          329   334   346   358   375   383   386
Catoosa           46    46    47    47    48    51    46
Charlton           8     9     9     8    11    11    12
Chatham          208   217   221   226   230   230   234
Chattahoochee      9    11    11    12    12    12    13
Chattooga         14    14    16    16    16    16    15
Cherokee         393   432   456   467   474   482   490
Clarke           140   142   144   150   155   156   156
Clay              20    20    21    22    23    25    25
Clayton          649   669   691   713   727   777   793
Clinch             7     8     8     8     8     9     9
Cobb            1483  1515  1571  1614  1677  1749  1768
Coffee           109   121   127   138   141   144   146
Colquitt         172   179   182   185   187   188   188
Columbia         145   149   155   160   162   163   164
Cook              17    20    22    23    25    25    27
Coweta           190   191   195   195   211   213   230
Crawford          14    15    15    15    17    18    18
Crisp            157   159   163   165   167   167   169
Dade              17    14    14    14    16    16    15
Dawson            53    58    59    61    61    66    66
DeKalb          1855  1887  1970  2026  2072  2148  2183
Decatur           64    66    80    82    87    90    91
Dodge             24    24    26    26    28    29    29
Dooly            119   119   122   129   129   131   132
Dougherty       1480  1491  1499  1505  1530  1534  1536
Douglas          284   298   311   319   329   335   341
Early            202   202   214   213   214   214   219
Echols             5     5     5     5     5     5     5
Effingham         34    34    34    35    36    36    36
Elbert            19    19    22    23    24    27    31
Emanuel           20    20    21    21    21    21    21
Evans              4     4     4     4     5     5     5
Fannin            24    27    28    29    30    31    31
Fayette          169   171   174   176   178   181   183
Floyd            134   134   139   144   145   145   145
Forsyth          271   284   290   298   308   331   332
Franklin          17    17    17    18    19    20    21
Fulton          2680  2727  2770  2811  2882  2928  2979
Gilmer            54    56    64    68    69    73    73
Glascock           0     0     0     0     0     0     0
Glynn             51    55    55    55    58    59    59
Gordon            81    85    89    92   113   113   113
Grady             54    58    63    63    64    64    64
Greene            54    52    54    54    55    56    54
Gwinnett        1545  1603  1720  1787  1846  1934  1976
Habersham        193   212   231   257   327   344   343
Hall            1098  1183  1242  1332  1482  1694  1700
Hancock           25    37    40    45    51    58    61
Haralson          27    27    28    27    29    29    29
Harris            57    57    59    60    61    61    61
Hart               9     9    10    10    11    11    11
Heard             10    10     9    10    11    11    14
Henry            464   487   492   492   492   512   520
Houston          215   219   221   223   234   237   242
Irwin             15    15    15    15    15    16    16
Jackson           77    78    84    93    97   108   108
Jasper            20    21    22    21    22    23    24
Jeff Davis        14    14    15    17    20    20    22
Jefferson         14    14    14    14    14    15    15
Jenkins           16    16    16    16    16    16    17
Johnson           39    39    39    49    51    59    59
Jones             27    28    28    28    29    29    29
Lamar             34    35    37    38    39    40    40
Lanier             8     8     8     8     9     9     9
Laurens           54    54    54    60    62    64    64
Lee              307   313   314   318   322   327   328
Liberty           35    37    37    37    37    37    38
Lincoln           10    11    12    12    12    12    12
Long               4     4     4     5     5     5     5
Lowndes          139   146   152   155   156   158   157
Lumpkin           32    37    40    44    46    63    63
Macon             73    75    75    79    81    81    81
Madison           22    23    24    24    24    24    25
Marion            40    40    42    42    42    42    42
McDuffie          44    44    44    45    45    45    45
McDuffie           0     0     0     0     0     0     0
McIntosh           4     4     4     4     6     6     6
McIntosh           0     0     0     0     0     0     0
Meriwether        49    53    54    54    54    54    54
Miller            29    29    31    33    33    33    33
Mitchell         293   293   306   310   318   319   319
Monroe            22    22    23    23    24    24    24
Montgomery         2     2     2     2     3     2     2
Morgan            25    24    28    28    27    27    28
Murray            25    27    29    31    32    33    33
Muscogee         283   291   294   303   316   320   328
Newton           173   181   188   196   200   205   208
Oconee            57    58    59    64    66    65    65
Oglethorpe        48    48    49    48    49    50    50
Out of GA       1027   972  1018   962  1068  1062  1054
Paulding         166   172   175   188   190   194   195
Peach             39    44    45    46    52    56    55
Pickens           21    25    26    26    25    27    29
Pierce            54    54    54    55    55    53    52
Pike              39    39    39    40    40    40    40
Polk              49    49    56    57    59    59    59
Pulaski           24    25    27    30    31    31    32
Putnam            37    37    37    40    42    42    41
Quitman            4     5     5     4     5     5     8
Rabun             10    12    12    13    14    13    13
Randolph         156   156   159   159   161   163   163
Richmond         377   382   389   406   412   415   417
Rockdale         166   172   178   186   191   194   195
Schley            16    16    16    16    16    16    16
Screven           14    15    15    15    15    15    15
Seminole          29    30    30    29    30    30    31
Spalding         197   199   205   208   214   215   219
Stephens          73    71    72    78    81    87    87
Stewart           18    21    23    24    25    25    25
Sumter           362   370   378   380   382   385   388
Talbot            21    22    24    26    26    26    26
Taliaferro         0     0     0     0     0     0     1
Tattnall           7     8    10    10     9     9     9
Taylor            17    17    17    17    17    18    18
Telfair           25    25    25    27    28    28    28
Terrell          167   170   177   183   184   185   186
Thomas           162   173   178   186   190   191   192
Tift             100    97   110   117   122   126   127
Toombs            28    28    30    31    31    32    34
Towns             20    21    21    21    22    20    20
Treutlen           2     3     3     3     3     3     3
Troup            138   141   145   148   150   154   154
Turner            64    66    67    68    68    69    69
Twiggs             7     7     8     8     8     8     8
Unassigned       633   608   579   394   647   652   694
Unassigned         0     0     0     0     0     0     0
Union             32    34    34    33    33    31    31
Upson            203   208   211   216   224   225   230
Walker            59    58    60    61    60    60    51
Walton           100   110   120   126   129   132   133
Ware             112   112   115   121   128   129   130
Warren            12    12    12    12    12    13    13
Washington        37    38    38    42    43    44    44
Wayne             12    12    12    13    13    13    13
Webster           10    10    10    10    10    10    10
Wheeler            4     4     4     4     5     5     5
White             48    56    59    59    63    78    78
Whitfield         69    75    79   103   111   118   120
Wilcox            72    89    89    90    90    90    90
Wilkes            23    23    24    25    25    25    25
Wilkinson         32    34    34    35    35    35    35
Worth            143   144   149   153   159   162   162
totals         24302 24922 25775 26264 27489 28331 28665

Hawaii
date         4/28  4/29  4/30  5/01  5/02  5/03  5/04
Hawaii         70    70    70    73    73    73    74
Honolulu      396   396   399   399   400   400   400
Kalawao         0     0     0     0     0     0     0
Kauai          21    21    21    21    21    21    21
Maui          113   115   115   116   116   117   116
Out of HI       7     7     8     9     9     9     9
Unassigned      0     0     0     0     0     0     0
Unassigned      0     0     0     0     0     0     0
totals        607   609   613   618   619   620   620

Idaho
date         4/28  4/29  4/30  5/01  5/02  5/03  5/04
Ada           650   662   662   671   681   705   705
Adams           3     3     3     3     3     3     3
Bannock         8    10    10    11    11    11    11
Bear Lake       0     0     0     0     0     0     0
Benewah         0     0     0     0     0     0     0
Bingham         3     3     3     4     4     4     4
Blaine        492   497   497   498   497   497   497
Boise           0     0     0     0     0     0     0
Bonner          4     4     4     4     4     4     4
Bonneville     28    27    27    28    28    28    28
Boundary        0     0     0     0     0     0     0
Butte           0     0     0     0     0     0     0
Camas           1     1     1     1     1     1     1
Canyon        233   250   250   252   255   258   258
Caribou         1     1     1     1     1     1     1
Cassia         12    12    12    12    13    13    13
Clark           0     0     0     0     0     0     0
Clearwater      0     0     0     0     0     0     0
Custer          2     2     2     2     2     2     2
Elmore         29    30    30    30    30    30    30
Franklin        0     0     0     0     0     0     0
Fremont         2     2     2     2     2     2     2
Gem            12    12    12    12    13    13    13
Gooding         9     9     9    11    12    12    12
Idaho           3     3     3     3     3     3     3
Jefferson       5     5     5     5     5     5     5
Jerome         46    48    48    51    54    55    55
Kootenai       61    61    61    61    62    62    62
Latah           4     5     5     5     5     5     5
Lemhi           1     1     1     1     1     1     1
Lewis           0     0     0     0     0     0     0
Lincoln        22    24    24    27    27    29    29
Madison         8     9     9    10    11    12    12
Minidoka       10    11    11    11    11    11    11
Nez Perce      58    59    59    60    60    60    60
Oneida          0     0     0     0     0     0     0
Owyhee          8     8     8     8     8     8     8
Payette        13    14    14    16    16    16    16
Power           2     2     2     2     2     2     2
Shoshone        0     0     0     0     0     0     0
Teton           8     9     9     9     9     9     9
Twin Falls    156   165   165   170   181   196   196
Unassigned      0     0     0     0     0     0     0
Valley          2     2     2     2     2     2     2
Washington      1     1     1     1     1     1     1
totals       1897  1952  1952  1984  2015  2061  2061

Illinois
date          4/28  4/29  4/30  5/01  5/02  5/03  5/04
Adams           33    40    40    40    40    40    40
Alexander        3     3     3     3     3     4     4
Bond             5     5     6     6     6     6     6
Boone           79    81    89    98   113   129   138
Brown            0     0     0     0     1     1     1
Bureau          10    11    11    10    10    11    12
Calhoun          1     1     1     1     1     1     1
Carroll          9     9     9     9     9     9    10
Cass            25    27    29    33    34    40    40
Champaign      107   114   120   130   143   156   177
Christian       28    28    30    30    29    28    28
Clark            4     5     5     5     5     6     5
Clay             2     2     2     2     2     2     2
Clinton         85    90   101   106   110   110   112
Coles           22    22    22    22    22    22    22
Cook         31953 33449 34880 36513 38668 40227 42324
Crawford        10    10    10    10    10    10    10
Cumberland       3     3     3     3     3     3     3
De Witt          1     2     3     3     3     3     3
DeKalb          76    82    90    95   105   114   125
Douglas         14    14    14    14    16    19    20
DuPage        2628  2736  2870  3081  3256  3432  3611
Edgar            0     0     0     0     0     0     0
Edwards          0     0     0     0     0     0     0
Effingham        5     5     6     5     5     6     6
Fayette         16    16    16    16    16    16    16
Ford             8     8    10     9     9     9     9
Franklin         8     8     8     8     8     9    10
Fulton           3     3     3     3     3     3     3
Gallatin         2     2     2     2     2     2     2
Greene           2     3     3     3     3     3     3
Grundy          30    30    32    35    37    41    43
Hamilton         2     2     2     2     2     2     2
Hancock          5     5     5     6     6     8     8
Hardin           1     1     1     1     1     1     1
Henderson        4     4     4     4     5     5     5
Henry           36    38    39    45    49    50    50
Iroquois        18    20    25    27    31    37    38
Jackson         68    75    82   107   120   125   139
Jasper          42    44    44    44    44    45    45
